DEALER_ID,DEALER_NAME,DEALER_BRANCH,Pincode,City,State,Category,FOS_NAME,FOS_CODE,STATUS
109062887,Dealer_34,Branch_46,411713,Pune,Maharashtra,Musical Instruments,FOS_34,959054112,Inactive
353936543,Dealer_35,Branch_55,411983,Pune,Maharashtra,Gyms And Spas,FOS_35,947501173,Inactive
650334799,Dealer_36,Branch_3,411118,Pune,Maharashtra,Toys,FOS_36,976904515,Inactive
989531487,Dealer_37,Branch_17,411178,Pune,Maharashtra,High End Stationery,FOS_37,947430405,Mod Active
727091658,Dealer_38,Branch_41,411944,Pune,Maharashtra,Handicrafts,FOS_38,993384776,Mod Active
579744559,Dealer_39,Branch_2,411768,Pune,Maharashtra,Footwear,FOS_39,997945885,Mod Active
735619892,Dealer_40,Branch_39,411234,Pune,Maharashtra,Gyms And Spas,FOS_40,952039021,Inactive
246330319,Dealer_41,Branch_70,411084,Pune,Maharashtra,Watches,FOS_41,974545104,Active
438197587,Dealer_42,Branch_43,411274,Pune,Maharashtra,Cycles,FOS_42,986434351,Inactive
699528263,Dealer_43,Branch_46,411144,Pune,Maharashtra,Travel Agencies,FOS_43,991875293,Active
491427740,Dealer_44,Branch_46,411258,Pune,Maharashtra,Luggage,FOS_44,991063245,Mod Active
457134932,Dealer_45,Branch_93,411036,Pune,Maharashtra,Cycles,FOS_45,955199028,Active
807558045,Dealer_46,Branch_98,411282,Pune,Maharashtra,Hotels,FOS_46,921248332,Mod Active
440965734,Dealer_47,Branch_48,411069,Pune,Maharashtra,Diagnostics,FOS_47,911603235,Mod Active
663895535,Dealer_48,Branch_39,411762,Pune,Maharashtra,Paints And Hardware,FOS_48,940442950,Active
320709939,Dealer_49,Branch_54,411417,Pune,Maharashtra,Fine Dining/Organized Dining,FOS_49,983833256,Active
916180806,Dealer_50,Branch_41,411941,Pune,Maharashtra,Tyres,FOS_50,972802407,Active
481719139,Dealer_51,Branch_77,411614,Pune,Maharashtra,Pharmacy,FOS_51,969736801,Mod Active
870454879,Dealer_52,Branch_25,411886,Pune,Maharashtra,Others,FOS_52,932430179,Mod Active
614433035,Dealer_53,Branch_85,411207,Pune,Maharashtra,Travel Agencies,FOS_53,965528478,Inactive
192210265,Dealer_54,Branch_27,411008,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_54,992156554,Inactive
723386478,Dealer_55,Branch_29,411762,Pune,Maharashtra,Sewing Machines.,FOS_55,971794902,Inactive
284191877,Dealer_56,Branch_50,411844,Pune,Maharashtra,Musical Instruments,FOS_56,985988297,Inactive
390426769,Dealer_57,Branch_40,411739,Pune,Maharashtra,Power Tools,FOS_57,931237651,Active
234786718,Dealer_58,Branch_53,411486,Pune,Maharashtra,Power Tools,FOS_58,949114012,Active
420483445,Dealer_59,Branch_78,411122,Pune,Maharashtra,Computer Accessories,FOS_59,945390188,Inactive
935246497,Dealer_60,Branch_72,411112,Pune,Maharashtra,Computer Accessories,FOS_60,990910907,Inactive
759960905,Dealer_61,Branch_1,411361,Pune,Maharashtra,Crockery And House Hold Items,FOS_61,938965760,Mod Active
767710614,Dealer_62,Branch_4,411942,Pune,Maharashtra,Departmental Stores,FOS_62,991530756,Inactive
665199932,Dealer_63,Branch_85,411527,Pune,Maharashtra,Tyres,FOS_63,982609564,Inactive
562104651,Dealer_64,Branch_40,411135,Pune,Maharashtra,Small Appliances,FOS_64,993691522,Active
384761597,Dealer_65,Branch_25,411722,Pune,Maharashtra,LFR,FOS_65,906567047,Inactive
365593367,Dealer_66,Branch_17,411412,Pune,Maharashtra,Power Backup,FOS_66,994834490,Active
806492002,Dealer_67,Branch_5,411894,Pune,Maharashtra,Diagnostics,FOS_67,956173658,Mod Active
684739721,Dealer_68,Branch_83,411199,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_68,905501099,Mod Active
867370651,Dealer_69,Branch_68,411777,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_69,921587829,Mod Active
155527182,Dealer_70,Branch_76,411636,Pune,Maharashtra,Eyewear,FOS_70,976465402,Active
461922889,Dealer_71,Branch_89,411674,Pune,Maharashtra,Home Security Systems,FOS_71,966064236,Inactive
469537762,Dealer_72,Branch_87,411464,Pune,Maharashtra,Sports Equipment,FOS_72,955847415,Active
120552274,Dealer_73,Branch_71,411982,Pune,Maharashtra,Musical Instruments,FOS_73,947878431,Inactive
165796576,Dealer_74,Branch_55,411966,Pune,Maharashtra,Pharmacy,FOS_74,918957920,Active
995252311,Dealer_75,Branch_17,411418,Pune,Maharashtra,Medical Accessories,FOS_75,970031552,Active
392935958,Dealer_76,Branch_85,411303,Pune,Maharashtra,Pets Accessories,FOS_76,964405294,Inactive
163820610,Dealer_77,Branch_72,411553,Pune,Maharashtra,Lighting,FOS_77,967628501,Mod Active
473633066,Dealer_78,Branch_94,411913,Pune,Maharashtra,Hotels,FOS_78,914231585,Inactive
526492490,Dealer_79,Branch_62,411553,Pune,Maharashtra,Others,FOS_79,966491465,Mod Active
294810261,Dealer_80,Branch_39,411853,Pune,Maharashtra,Crockery And House Hold Items,FOS_80,918881274,Mod Active
548431374,Dealer_81,Branch_97,411578,Pune,Maharashtra,Insurance,FOS_81,968856426,Active
167379609,Dealer_82,Branch_64,411740,Pune,Maharashtra,Medical Accessories,FOS_82,974075273,Inactive
154309540,Dealer_83,Branch_47,411745,Pune,Maharashtra,Gyms And Spas,FOS_83,906830263,Mod Active
122414914,Dealer_84,Branch_49,411924,Pune,Maharashtra,Departmental Stores,FOS_84,952157494,Active
601592072,Dealer_85,Branch_65,411951,Pune,Maharashtra,Apparels,FOS_85,949470211,Active
329446232,Dealer_86,Branch_37,411366,Pune,Maharashtra,Travel Agencies,FOS_86,966327185,Mod Active
792680235,Dealer_87,Branch_7,411668,Pune,Maharashtra,Musical Instruments,FOS_87,922973495,Mod Active
370249699,Dealer_88,Branch_24,411939,Pune,Maharashtra,Others,FOS_88,940532902,Active
694668279,Dealer_89,Branch_14,411222,Pune,Maharashtra,Handicrafts,FOS_89,998296166,Active
657407619,Dealer_90,Branch_95,411752,Pune,Maharashtra,Cycles,FOS_90,943484933,Mod Active
192753582,Dealer_91,Branch_53,411090,Pune,Maharashtra,Footwear,FOS_91,962106800,Active
840349851,Dealer_92,Branch_62,411826,Pune,Maharashtra,Furnishing,FOS_92,951586837,Inactive
744821638,Dealer_93,Branch_65,411031,Pune,Maharashtra,Pets Accessories,FOS_93,939953418,Inactive
368850983,Dealer_94,Branch_80,411675,Pune,Maharashtra,Tyres,FOS_94,949384292,Inactive
902858701,Dealer_95,Branch_22,411836,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_95,967724529,Inactive
748795165,Dealer_96,Branch_79,411361,Pune,Maharashtra,Travel Agencies,FOS_96,916189217,Active
561004824,Dealer_97,Branch_95,411231,Pune,Maharashtra,Pharmacy,FOS_97,927016945,Mod Active
688005487,Dealer_98,Branch_92,411181,Pune,Maharashtra,Small Appliances,FOS_98,940466961,Active
180486204,Dealer_99,Branch_87,411385,Pune,Maharashtra,Apparels,FOS_99,942847967,Active
517080550,Dealer_100,Branch_49,411305,Pune,Maharashtra,Departmental Stores,FOS_100,934019382,Inactive
228640212,Dealer_101,Branch_80,411749,Pune,Maharashtra,Apparels,FOS_101,960882198,Inactive
462559669,Dealer_102,Branch_29,411854,Pune,Maharashtra,Fine Dining/Organized Dining,FOS_102,915480039,Inactive
548586795,Dealer_103,Branch_10,411784,Pune,Maharashtra,Power Tools,FOS_103,986316443,Active
572542401,Dealer_104,Branch_64,411310,Pune,Maharashtra,Large Applainces,FOS_104,995692059,Mod Active
555887495,Dealer_105,Branch_45,411794,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_105,954280970,Inactive
689117440,Dealer_106,Branch_21,411646,Pune,Maharashtra,Watches,FOS_106,925698473,Active
564368140,Dealer_107,Branch_46,411022,Pune,Maharashtra,Apparels,FOS_107,920217432,Active
178398740,Dealer_108,Branch_79,411200,Pune,Maharashtra,Others,FOS_108,911863756,Mod Active
199968900,Dealer_109,Branch_73,411829,Pune,Maharashtra,Power Backup,FOS_109,952081746,Mod Active
105339158,Dealer_110,Branch_8,411954,Pune,Maharashtra,Pets Accessories,FOS_110,953744899,Mod Active
866859938,Dealer_111,Branch_56,411738,Pune,Maharashtra,LFR,FOS_111,937009987,Active
943384798,Dealer_112,Branch_48,411331,Pune,Maharashtra,Remi Gas Kit,FOS_112,989003316,Active
319637607,Dealer_113,Branch_25,411865,Pune,Maharashtra,Fine Dining/Organized Dining,FOS_113,980251335,Mod Active
665798651,Dealer_114,Branch_15,411917,Pune,Maharashtra,Footwear,FOS_114,955441016,Active
432943369,Dealer_115,Branch_23,411644,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_115,962360700,Active
898338517,Dealer_116,Branch_43,411771,Pune,Maharashtra,Remi Gas Kit,FOS_116,985096456,Inactive
914795140,Dealer_117,Branch_26,411871,Pune,Maharashtra,Luggage,FOS_117,971795078,Active
634466824,Dealer_118,Branch_10,411756,Pune,Maharashtra,Luggage,FOS_118,917975922,Mod Active
335192394,Dealer_119,Branch_35,411320,Pune,Maharashtra,Handicrafts,FOS_119,972568836,Active
818377288,Dealer_120,Branch_27,411733,Pune,Maharashtra,Pets Accessories,FOS_120,917751146,Mod Active
232211331,Dealer_121,Branch_74,411878,Pune,Maharashtra,Power Backup,FOS_121,987359990,Active
813174523,Dealer_122,Branch_96,411138,Pune,Maharashtra,Others,FOS_122,956662803,Inactive
825354607,Dealer_123,Branch_28,411912,Pune,Maharashtra,High End Stationery,FOS_123,924854918,Mod Active
204613234,Dealer_124,Branch_69,411918,Pune,Maharashtra,Medical Accessories,FOS_124,930419283,Mod Active
728859826,Dealer_125,Branch_71,411323,Pune,Maharashtra,Others,FOS_125,911996164,Inactive
777333621,Dealer_126,Branch_93,411902,Pune,Maharashtra,Power Tools,FOS_126,967599494,Mod Active
649963011,Dealer_127,Branch_51,411514,Pune,Maharashtra,Furnishing,FOS_127,935224823,Active
573366614,Dealer_128,Branch_43,411313,Pune,Maharashtra,Others,FOS_128,964887822,Active
658218657,Dealer_129,Branch_74,411130,Pune,Maharashtra,E-Bike,FOS_129,911368204,Mod Active
805237855,Dealer_130,Branch_85,411177,Pune,Maharashtra,Diagnostics,FOS_130,923791744,Mod Active
952331369,Dealer_131,Branch_69,411265,Pune,Maharashtra,Travel Agencies,FOS_131,900433007,Mod Active
511572043,Dealer_132,Branch_73,411806,Pune,Maharashtra,High End Stationery,FOS_132,994337715,Inactive
911631228,Dealer_133,Branch_11,411935,Pune,Maharashtra,Water Purifier,FOS_133,951210004,Inactive
187450912,Dealer_134,Branch_48,411410,Pune,Maharashtra,Remi Gas Kit,FOS_134,914888624,Inactive
159267605,Dealer_135,Branch_76,411762,Pune,Maharashtra,Power Tools,FOS_135,978353249,Inactive
654902100,Dealer_136,Branch_44,411219,Pune,Maharashtra,Diagnostics,FOS_136,956143854,Inactive
500161385,Dealer_137,Branch_54,411607,Pune,Maharashtra,Pharmacy,FOS_137,921972510,Active
751594235,Dealer_138,Branch_84,411159,Pune,Maharashtra,Others,FOS_138,978188651,Active
682483715,Dealer_139,Branch_97,411555,Pune,Maharashtra,Spa And Salon,FOS_139,941218397,Mod Active
889550678,Dealer_140,Branch_24,411672,Pune,Maharashtra,Bike Accessories,FOS_140,947235646,Active
376517818,Dealer_141,Branch_73,411313,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_141,922119275,Inactive
525698220,Dealer_142,Branch_90,411156,Pune,Maharashtra,Home Security Systems,FOS_142,916789406,Mod Active
463829515,Dealer_143,Branch_34,411539,Pune,Maharashtra,Furnishing,FOS_143,934998110,Inactive
414401233,Dealer_144,Branch_74,411130,Pune,Maharashtra,Small Appliances,FOS_144,999108225,Active
328259923,Dealer_145,Branch_53,411453,Pune,Maharashtra,Eyewear,FOS_145,906930331,Active
311705708,Dealer_146,Branch_51,411975,Pune,Maharashtra,Diagnostics,FOS_146,980037336,Inactive
630499775,Dealer_147,Branch_4,411011,Pune,Maharashtra,Musical Instruments,FOS_147,950705119,Inactive
827766319,Dealer_148,Branch_34,411603,Pune,Maharashtra,Toys,FOS_148,924375377,Active
558453087,Dealer_149,Branch_5,411032,Pune,Maharashtra,Crockery And House Hold Items,FOS_149,965178283,Mod Active
690440523,Dealer_150,Branch_32,411540,Pune,Maharashtra,LFR,FOS_150,935394280,Mod Active
121027401,Dealer_151,Branch_56,411873,Pune,Maharashtra,Cycles,FOS_151,959584618,Mod Active
904020977,Dealer_152,Branch_81,411798,Pune,Maharashtra,Hotels,FOS_152,917874026,Mod Active
739568888,Dealer_153,Branch_77,411306,Pune,Maharashtra,Power Tools,FOS_153,937112574,Inactive
802941651,Dealer_154,Branch_48,411497,Pune,Maharashtra,Computer Accessories,FOS_154,949155623,Active
687904037,Dealer_155,Branch_54,411569,Pune,Maharashtra,Cycles,FOS_155,968186278,Mod Active
899528901,Dealer_156,Branch_50,411245,Pune,Maharashtra,Vehicle Care / Servicing,FOS_156,900225251,Inactive
423297323,Dealer_157,Branch_38,411117,Pune,Maharashtra,Lighting,FOS_157,964121692,Mod Active
151762191,Dealer_158,Branch_69,411937,Pune,Maharashtra,Paints And Hardware,FOS_158,900189323,Active
485966223,Dealer_159,Branch_58,411318,Pune,Maharashtra,Power Backup,FOS_159,933938150,Mod Active
571833668,Dealer_160,Branch_29,411671,Pune,Maharashtra,Cycles,FOS_160,934559846,Inactive
324555975,Dealer_161,Branch_17,411513,Pune,Maharashtra,Luggage,FOS_161,916864584,Active
152641040,Dealer_162,Branch_90,411644,Pune,Maharashtra,Small Appliances,FOS_162,953417038,Inactive
878083807,Dealer_163,Branch_41,411690,Pune,Maharashtra,Diagnostics,FOS_163,990526848,Active
829235679,Dealer_164,Branch_19,411024,Pune,Maharashtra,Sewing Machines.,FOS_164,939578004,Active
531952948,Dealer_165,Branch_54,411838,Pune,Maharashtra,Sports Equipment,FOS_165,917514027,Active
233640370,Dealer_166,Branch_1,411216,Pune,Maharashtra,Travel Agencies,FOS_166,903922001,Active
616806459,Dealer_167,Branch_45,411860,Pune,Maharashtra,Fine Dining/Organized Dining,FOS_167,965525952,Active
666026117,Dealer_168,Branch_31,411719,Pune,Maharashtra,Eyewear,FOS_168,991526131,Mod Active
459929962,Dealer_169,Branch_82,411751,Pune,Maharashtra,Bike Accessories,FOS_169,994796383,Inactive
559236414,Dealer_170,Branch_91,411776,Pune,Maharashtra,Handicrafts,FOS_170,988776904,Active
217589746,Dealer_171,Branch_29,411559,Pune,Maharashtra,Cycles,FOS_171,955650147,Active
198796669,Dealer_172,Branch_52,411668,Pune,Maharashtra,E-Bike,FOS_172,909546242,Mod Active
714321673,Dealer_173,Branch_11,411084,Pune,Maharashtra,Eyewear,FOS_173,995152005,Active
743088355,Dealer_174,Branch_51,411001,Pune,Maharashtra,Spa And Salon,FOS_174,956241541,Mod Active
767830017,Dealer_175,Branch_58,411760,Pune,Maharashtra,Home Security Systems,FOS_175,983711220,Mod Active
286606073,Dealer_176,Branch_49,411370,Pune,Maharashtra,Insurance,FOS_176,921868788,Mod Active
177202476,Dealer_177,Branch_87,411119,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_177,919865995,Mod Active
609334927,Dealer_178,Branch_72,411643,Pune,Maharashtra,Apparels,FOS_178,958068729,Inactive
418210385,Dealer_179,Branch_9,411145,Pune,Maharashtra,Handicrafts,FOS_179,933430158,Mod Active
951871791,Dealer_180,Branch_89,411410,Pune,Maharashtra,Vehicle Care / Servicing,FOS_180,940901273,Inactive
397720862,Dealer_181,Branch_35,411554,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_181,933197880,Mod Active
869298708,Dealer_182,Branch_15,411889,Pune,Maharashtra,Bike Accessories,FOS_182,997048726,Active
328932981,Dealer_183,Branch_15,411757,Pune,Maharashtra,Home Security Systems,FOS_183,938178273,Active
946687520,Dealer_184,Branch_68,411766,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_184,996417058,Mod Active
853277862,Dealer_185,Branch_91,411566,Pune,Maharashtra,Furnishing,FOS_185,955028179,Mod Active
698242865,Dealer_186,Branch_98,411699,Pune,Maharashtra,Gyms And Spas,FOS_186,918558467,Mod Active
104817401,Dealer_187,Branch_96,411250,Pune,Maharashtra,Sewing Machines.,FOS_187,945415949,Mod Active
238127748,Dealer_188,Branch_41,411608,Pune,Maharashtra,Lighting,FOS_188,935672453,Active
146768468,Dealer_189,Branch_72,411866,Pune,Maharashtra,Paints And Hardware,FOS_189,995088290,Active
460457785,Dealer_190,Branch_68,411165,Pune,Maharashtra,Power Backup,FOS_190,992857141,Active
600148102,Dealer_191,Branch_36,411485,Pune,Maharashtra,Spa And Salon,FOS_191,979465369,Inactive
740568103,Dealer_192,Branch_33,411761,Pune,Maharashtra,Others,FOS_192,972321896,Inactive
366764448,Dealer_193,Branch_51,411120,Pune,Maharashtra,Vehicle Care / Servicing,FOS_193,938436512,Mod Active
773120452,Dealer_194,Branch_6,411987,Pune,Maharashtra,Remi Gas Kit,FOS_194,943032141,Active
796679997,Dealer_195,Branch_80,411750,Pune,Maharashtra,Home Security Systems,FOS_195,991429567,Active
517490043,Dealer_196,Branch_36,411103,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_196,943025213,Inactive
278094372,Dealer_197,Branch_10,411729,Pune,Maharashtra,Handicrafts,FOS_197,946264867,Mod Active
675397403,Dealer_198,Branch_92,411379,Pune,Maharashtra,Eyewear,FOS_198,924105954,Active
319670562,Dealer_199,Branch_40,411286,Pune,Maharashtra,Handicrafts,FOS_199,934588322,Inactive
514964894,Dealer_200,Branch_72,411306,Pune,Maharashtra,Others,FOS_200,987608975,Mod Active
292237610,Dealer_201,Branch_96,411488,Pune,Maharashtra,Water Purifier,FOS_201,965244892,Inactive
146513144,Dealer_202,Branch_46,411461,Pune,Maharashtra,Hotels,FOS_202,940072339,Active
907012330,Dealer_203,Branch_33,411678,Pune,Maharashtra,Small Appliances,FOS_203,967420403,Inactive
411920192,Dealer_204,Branch_58,411792,Pune,Maharashtra,Handicrafts,FOS_204,980201198,Inactive
708005588,Dealer_205,Branch_84,411540,Pune,Maharashtra,Handicrafts,FOS_205,967821877,Active
945432368,Dealer_206,Branch_34,411322,Pune,Maharashtra,Gyms And Spas,FOS_206,974752173,Inactive
398899169,Dealer_207,Branch_94,411009,Pune,Maharashtra,Departmental Stores,FOS_207,951272993,Mod Active
164008128,Dealer_208,Branch_95,411817,Pune,Maharashtra,E-Bike,FOS_208,901072254,Inactive
516272252,Dealer_209,Branch_67,411805,Pune,Maharashtra,Water Purifier,FOS_209,938987029,Mod Active
564831322,Dealer_210,Branch_1,411029,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_210,903159347,Active
961660643,Dealer_211,Branch_82,411201,Pune,Maharashtra,Cycles,FOS_211,950922517,Inactive
838404921,Dealer_212,Branch_1,411470,Pune,Maharashtra,Apparels,FOS_212,951711432,Active
884404205,Dealer_213,Branch_8,411674,Pune,Maharashtra,Power Backup,FOS_213,950567132,Inactive
994215990,Dealer_214,Branch_69,411148,Pune,Maharashtra,Diagnostics,FOS_214,990954843,Active
530343234,Dealer_215,Branch_38,411561,Pune,Maharashtra,E-Bike,FOS_215,995562888,Mod Active
486220546,Dealer_216,Branch_13,411546,Pune,Maharashtra,Departmental Stores,FOS_216,914962830,Inactive
685092907,Dealer_217,Branch_55,411412,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_217,999537712,Inactive
792439788,Dealer_218,Branch_93,411051,Pune,Maharashtra,Eyewear,FOS_218,936405972,Active
409264485,Dealer_219,Branch_31,411348,Pune,Maharashtra,Furnishing,FOS_219,910253888,Mod Active
785145087,Dealer_220,Branch_21,411343,Pune,Maharashtra,Gyms And Spas,FOS_220,904498574,Inactive
828829304,Dealer_221,Branch_56,411779,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_221,922521828,Active
445332169,Dealer_222,Branch_62,411134,Pune,Maharashtra,Handicrafts,FOS_222,900639650,Inactive
378944178,Dealer_223,Branch_4,411135,Pune,Maharashtra,Footwear,FOS_223,920129077,Active
188323844,Dealer_224,Branch_6,411154,Pune,Maharashtra,Watches,FOS_224,997101852,Inactive
550249658,Dealer_225,Branch_45,411321,Pune,Maharashtra,Eyewear,FOS_225,920470301,Mod Active
882073703,Dealer_226,Branch_84,411797,Pune,Maharashtra,Eyewear,FOS_226,994159101,Active
409126342,Dealer_227,Branch_6,411036,Pune,Maharashtra,High End Stationery,FOS_227,957865979,Inactive
578715572,Dealer_228,Branch_48,411968,Pune,Maharashtra,Handicrafts,FOS_228,947604525,Active
472889547,Dealer_229,Branch_47,411941,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_229,932472361,Inactive
193545829,Dealer_230,Branch_7,411583,Pune,Maharashtra,Power Backup,FOS_230,991540396,Mod Active
688489138,Dealer_231,Branch_65,411949,Pune,Maharashtra,Sewing Machines.,FOS_231,922696032,Active
333437650,Dealer_232,Branch_31,411674,Pune,Maharashtra,Power Tools,FOS_232,921368277,Mod Active
883169358,Dealer_233,Branch_30,411163,Pune,Maharashtra,Sewing Machines.,FOS_233,998372325,Mod Active
781858999,Dealer_234,Branch_79,411365,Pune,Maharashtra,Tyres,FOS_234,974513936,Inactive
936288562,Dealer_235,Branch_80,411563,Pune,Maharashtra,Medical Accessories,FOS_235,990166885,Inactive
806050489,Dealer_236,Branch_16,411840,Pune,Maharashtra,Diagnostics,FOS_236,976424502,Active
481388520,Dealer_237,Branch_64,411036,Pune,Maharashtra,High End Stationery,FOS_237,933433894,Inactive
569823948,Dealer_238,Branch_23,411656,Pune,Maharashtra,Power Tools,FOS_238,916626048,Active
538835703,Dealer_239,Branch_69,411769,Pune,Maharashtra,Power Backup,FOS_239,925171564,Inactive
653293168,Dealer_240,Branch_15,411841,Pune,Maharashtra,Pets Accessories,FOS_240,930448615,Mod Active
341425678,Dealer_241,Branch_22,411773,Pune,Maharashtra,High End Stationery,FOS_241,916409512,Mod Active
398677712,Dealer_242,Branch_60,411588,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_242,944567782,Inactive
625180082,Dealer_243,Branch_24,411839,Pune,Maharashtra,Pharmacy,FOS_243,921166578,Mod Active
264039122,Dealer_244,Branch_10,411634,Pune,Maharashtra,Others,FOS_244,963274365,Active
841941858,Dealer_245,Branch_43,411406,Pune,Maharashtra,Computer Accessories,FOS_245,980126717,Active
393677563,Dealer_246,Branch_75,411018,Pune,Maharashtra,Furnishing,FOS_246,936399660,Inactive
732176425,Dealer_247,Branch_95,411995,Pune,Maharashtra,Car Accessories / Auto Ancillaries,FOS_247,926679910,Mod Active
512287364,Dealer_248,Branch_61,411021,Pune,Maharashtra,Water Purifier,FOS_248,971466511,Active
873650970,Dealer_249,Branch_18,411729,Pune,Maharashtra,Vehicle Care / Servicing,FOS_249,913719519,Active
446041092,Dealer_250,Branch_72,411406,Pune,Maharashtra,Pets Accessories,FOS_250,986985556,Active
681613230,Dealer_251,Branch_16,411253,Pune,Maharashtra,Pets Accessories,FOS_251,968997803,Mod Active
198314776,Dealer_252,Branch_18,411783,Pune,Maharashtra,Lighting,FOS_252,903762634,Active
978504523,Dealer_253,Branch_90,411379,Pune,Maharashtra,Hotels,FOS_253,989272162,Active
650004064,Dealer_254,Branch_89,411939,Pune,Maharashtra,Fragmented Multi Brand Stores,FOS_254,907907893,Inactive
340376222,Dealer_255,Branch_98,411212,Pune,Maharashtra,Spa And Salon,FOS_255,954362035,Inactive
205245665,Dealer_256,Branch_16,411122,Pune,Maharashtra,Small Appliances,FOS_256,928004203,Active
900343501,Dealer_257,Branch_57,411025,Pune,Maharashtra,Gyms And Spas,FOS_257,936413284,Mod Active
336259899,Dealer_258,Branch_52,411007,Pune,Maharashtra,Spa And Salon,FOS_258,978774567,Mod Active
780813361,Dealer_259,Branch_53,411414,Pune,Maharashtra,Sports Equipment,FOS_259,963325943,Inactive
